"Template Type Information","Imformazioni sul tipo di template"
"Template type name","Nome del tipo di template"
"Code of template type","Codice del tipo template"
"Is a system defined type","Tipo template di sistema"
"Enable for cron execution","Abilita all'esecuzione in Cron"
"Default for new templates","Valore di default per i nuovi template"
"Back","Indietro"
"Reset","Annulla"
"Save Template Type","Salva"
"Delete Template Type","Elimina"
"Edit Template Type","Modifica"
"New Template Type","Nuovo"
"Create Template Type","Nuovo"
"An error occurred while saving this template type.","Errore durante il salvataggio"
"Can't delete a system defined template!","Impossibile eliminare un tipo di template di sistema!"
"An error occurred while deleting this template type.","Errore durante l'eliminazione"
"Activate for cron execution","Abilita esecuzione in cron"
"An error occurred while saving this template.","Errore durante il salvataggio del template."
"Both HTML and Text/Plain","HTML e Testo"
"Cron Information","Informazioni esecuzione in cron"
"Default product snippet (1-5)","Snippet prodotto di default"
"Default product snippet number","Snippet prodotto di default"
"Delete Template Type","Elimina il tipo di template"
"Does the template is active for cron?","Questo tipo di template è attivo per l'esecuzione in cron?"
"Email format type","Formato email"
"Enabled end date","Data inizio abilitazione"
"Enabled start date","Data fine abilitazione"
"End date for cron","Data fine per l'esecuzione in cron"
"HTML only","Solo HTML"
"Newsletter Templates Types","Tipi di template"
"XML Delivery Queue", "Coda XML Delivery"
"Optional queue delay time","Delay di esecuzion (opzionale)"
"Product template nr %d (html)","Template prodotto nr %d (html)"
"Product template nr %d (text)","Template prodotto nr %d (text)"
"Product templates","Template prodotti"
"Queue delay time","Ritardo esecuzione in coda"
"Start date for cron","Data inizio per l'esecuzione in cron"
"Template (html format)","Template (html)"
"Template nr %d for product (html)","Template prodotto nr %d (html)"
"Template nr %d for product (text/plain)","Template prodotto nr %d (testo)"
"Template Styles","Stile template"
"Template (text format)","Template (text)"
"Template type","Tipo di template"
"Template types","Tipi di template"
"Text, html or both","Testo, HTML o entrambi"
"Text/Plain only","Solo testo"
"Use XML Delivery","Abilita XMLDelivery"
"Templates configuration","Configurazione template"
"Dnd period length","Periodo dnd"
"Dnd max mail number","Numero di email dnd"
"Do not disturb values","Impostazioni politiche di non disturbo (Dnd)"
"Enable cron sending for this store", "Abilitare invio in cron per questo Store"
"Test recipients", "Indirizzi email di test"
"Abandoned cart","Carrello abbandonato"
"Enable Abandoned Cart","Abilita invio Abandoned Cart"
"Minimum minutes value to consider a Abandoned Cart in email sending","Numero minimo di minuti perché un carrello sia considerato <em>abbandonato</em>"
"Maximum minutes value to consider a Abandoned Cart in email sending","Numero massimo di minuti perché un carrello sia considerato <em>abbandonato</em>"
"Cart minimum amount value","Valore minimo del carrello"
"Cart maximum amount value","Valore massimo del carrello"
"Minimum number of products in cart","Numero di prodotti minimo nel carrello"
"Maximum number of products in cart","Numero di prodotti massimo nel carrello"
"And / Or condition values","Considerare le condizioni numero/valore in and/or?"

"Enable Wishlist remind","Abilita invio wishlist remind"
"Minimum minutes value to consider a Wishlist in email sending","Numero minimo di minuti per considerare una wishlist nell'invio dell'email"
"Maximum minutes value to consider a Wishlist in email sending","Numero massimo di minuti per considerare una wishlist nell'invio dell'email"
"Wishlist minimum amount value","Valore minimo wishlist"
"Wishlist maximum amount value","Valore massimo wishlist"
"Wishlist minimum item number","Numero minimo di prodotti in wishlist"
"Wishlist maximum item number","Numero massimo di prodotti in wishlist"

"XML Delivery parameters", "Parametri XML Delivery"
"API Authentication UID", "UID Autenticazione API"
"API Authentication key", "Chiave Autenticazione API"
"Delivery method", "Metodo di delivery"
"Email group ID", "ID Gruppo email"
"Interval between sending attempts", "Intervallo tra tentativi di invio"
"Number of sending attempts", "Numero di tentativi di invio"
"Interval between check attempts", "Intervallo tra check report invio"
"Number of check attempts", "Numero di tentativi di check report invio"

"Automatic", "Automatico"
"Manual", "Manuale"

"Send to test recipients","Invio di test"
"Product image size (width x height)","Dimensione immagine prodotti (larghezza x altezza)"

"Generic email campaign","Campagna di email generica"
"Enable generic campaign email","Abilita invio campagne generiche"
"Recurring Email","Email ricorrenti"

"Customer filter options", "Opzioni di selezione dei destinatari"

"Minimum number of minutes", "Numero minimo di minuti"
"Maximum number of minutes", "Numero massimo di minuti"
"Minimum value", "Valore minimo"
"Maximum value", "Valore massimo"
"Minimum number of products", "Numero minimo di prodotti"
"Maximum number of products", "Numero massimo di prodotti"

"Send generic campaign to not subscribed customers", "Invia campagne generiche ai clienti non iscritti alla newsletter"
"Send abandoned cart email to not subscribed customers", "Invia il Carrello Abbandonato ai clienti non iscritti"
"Send wishlist remind email to not subscribed customers", "Invia la Wishlist remind ai clienti non iscritti"



"Priority", "Priorità"
"Content Type", "Tipo di contenuto"
"XML Delivery Status", "Stato XML Delivery"

"Recurring Email &mdash; Abandoned Cart", "Email ricorrenti &mdash; Carrello abbandonato"
"Recurring Email &mdash; Wishlist Remind", "Email ricorrenti &mdash; Wishlist remind"

"Show all", "Mostra tutti"
"Hide", "Nascondi"
